"","period","country_ID","country_no","CAB","GDPPC_PPP","invest","gov_debt","openness","demand","x_price","gov_deficit","credit","GDP_gr"
"1",1980,"ESP",1,-2.302,7944.54,23.001,17.21435627,0.233914681,0.023842018,0.545403957,-2.28876,72.89939699,1.203
"2",1981,"ESP",1,-2.505,8569.54,22.511,22.19211498,0.241002411,-0.020679944,0.501035571,-2.65711,76.21758453,-0.408
"3",1982,"ESP",1,-2.386,9164.908,22.294,25.12159066,0.250160225,0.010341845,0.487743556,-5.35527,78.72106269,1.239
"4",1983,"ESP",1,-1.424,9638.892,21.626,30.35415414,0.255736426,0.002557962,0.441546232,-3.95619,73.83754109,1.652
"5",1984,"ESP",1,1.213,10110.145,19.967,37.04596346,0.277053699,-0.002014581,0.440967083,-3.79866,67.60586762,1.698
"6",1985,"ESP",1,1.152,10642.566,20.416,42.02617758,0.295727894,0.031869502,0.43653971,-3.29671,65.503574,2.362
"7",1986,"ESP",1,1.467,11197.366,21.037,43.26769576,0.279199481,0.053736232,0.500654519,-1.89797,64.25280921,3.432
"8",1987,"ESP",1,-0.012,12110.435,22.289,43.10502037,0.310931548,0.079554046,0.55143857,-0.669396,67.28395085,5.709
"9",1988,"ESP",1,-0.987,13168.781,24.199,39.59489513,0.323451877,0.069438486,0.601142168,-0.072023,73.70009262,5.285
"10",1989,"ESP",1,-2.796,14336.908,25.596,41.00148564,0.337509945,0.073652797,0.624857962,-0.33923,77.42608622,5.004
"11",1990,"ESP",1,-3.381,15412.046,25.877,42.47680976,0.385490507,0.046330595,0.648428202,-0.511655,76.46075838,3.847
"12",1991,"ESP",1,-3.487,16284.004,25.146,43.05217173,0.359355018,0.030385617,0.713987589,0.926762,77.93918345,2.525
"13",1992,"ESP",1,-3.408,16741.578,23.156,45.38582574,0.418263793,0.009878396,0.640150607,0.50973,76.21548245,0.851
"14",1993,"ESP",1,-1.048,16862.185,21.153,56.11632208,0.359468564,-0.032859578,0.645321131,-2.49156,74.45858348,-1.314
"15",1994,"ESP",1,-1.207,17575.779,21.07,58.63760235,0.386811569,0.014782938,0.667449415,-0.832221,71.05811074,2.335
"16",1995,"ESP",1,-0.954,18638.272,22.149,63.334787,0.418508306,0.0308089,0.722438574,-2.07628,70.37293996,4.122
"17",1996,"ESP",1,-0.756,19393.078,21.957,67.48486476,0.442551047,0.020825129,0.733319819,-0.276401,71.06678215,2.421
"18",1997,"ESP",1,-0.726,20433.625,22.323,66.15869786,0.446821406,0.034119564,0.694051206,0.67648,76.12003247,3.865
"19",1998,"ESP",1,-1.665,21503.039,23.722,64.16455229,0.459559619,0.061853839,0.651997745,1.18586,82.91873854,4.469
"20",1999,"ESP",1,-3.296,22750.615,25.406,62.41652301,0.465169802,0.064154294,0.646369398,2.27513,87.42318901,4.745
"21",2000,"ESP",1,-4.401,24239.418,26.579,59.37911152,0.469881698,0.053085211,0.604132116,2.28542,95.30058027,5.053
"22",2001,"ESP",1,-4.391,25495.034,26.573,55.5920661,0.47677286,0.03788566,0.587780118,2.5078,98.4165037,4.004
"23",2002,"ESP",1,-3.738,26180.58,26.901,52.57878282,0.481258929,0.032320247,0.595945597,2.47635,102.8852724,2.88
"24",2003,"ESP",1,-3.884,27048.862,27.823,48.78567506,0.535757452,0.038419553,0.666398406,1.99915,110.3007946,3.186
"25",2004,"ESP",1,-5.586,28230.134,28.753,46.25514505,0.586030737,0.048106098,0.713694453,1.91705,121.9429547,3.17
"26",2005,"ESP",1,-7.494,29665.48,30.016,43.16485025,0.590771571,0.05040278,0.716990173,3.05455,142.3220921,3.717
"27",2006,"ESP",1,-8.99,31353.129,31.296,39.67896204,0.592482641,0.052479662,0.748510957,4.00843,163.2688938,4.177
"28",2007,"ESP",1,-9.648,32754.261,31.335,36.30090176,0.61645925,0.040537593,0.816198409,3.53089,183.080698,3.769
"29",2008,"ESP",1,-9.251,33220.948,29.596,40.17179818,0.603234872,-0.005250431,0.888510764,-2.89322,197.6756103,1.117
"30",2009,"ESP",1,-4.281,32008.831,24.566,53.97704352,0.47143285,-0.062207264,0.866358101,-9.40781,206.0238139,-3.575
"31",2010,"ESP",1,-3.922,32269.91,23.549,61.6564335,0.53892985,-0.006295655,0.832789183,-7.42841,208.0394999,0.017
"32",1980,"AUS",2,-2.369,10437.979,27.179,21.34881028,0.315590337,0.057886179,0.455011517,0.661012721,27.89841965,2.894
"33",1981,"AUS",2,-4.059,11696.004,28.938,18.94465073,0.311105341,0.056879843,0.484868556,0.603122582,27.97808889,4.127
"34",1982,"AUS",2,-4.109,12226.464,26.541,17.38733975,0.319269672,-0.027366455,0.469180286,-1.048954744,27.09603728,0.063
"35",1983,"AUS",2,-3.149,12489.933,23.097,18.8926315,0.278581291,0.047128354,0.437755197,-1.301976122,28.84289258,-0.474
"36",1984,"AUS",2,-4.15,13583.916,26.772,20.35905187,0.300287694,0.044830315,0.451836884,-0.668484401,30.35989633,6.346
"37",1985,"AUS",2,-4.865,14575.908,27.283,21.99568127,0.294674546,0.049037073,0.441940725,-0.036900511,37.11092289,5.456
"38",1986,"AUS",2,-5.052,15008.96,25.594,23.41314225,0.262758896,0.010215362,0.485720217,1.841137534,40.38987988,2.448
"39",1987,"AUS",2,-3.392,15893.197,26.432,22.06372051,0.252657898,0.055035029,0.532391489,3.274067182,42.86044201,4.893
"40",1988,"AUS",2,-3.815,16848.609,28.877,24.8187007,0.270989552,0.066897566,0.583150446,4.14863591,46.7876914,4.253
"41",1989,"AUS",2,-6.01,18033.72,30.205,22.7699726,0.298778787,0.036024123,0.592048287,3.317453571,59.33384994,4.569
"42",1990,"AUS",2,-4.843,18724.123,26.482,21.5777027,0.303664744,-0.027562015,0.587175429,1.141526142,60.65017955,1.503
"43",1991,"AUS",2,-3.282,18901.683,22.764,22.914084,0.28042163,0.006215998,0.691879392,-1.847101562,60.17719957,-1.113
